0x704c8b644e6aeafe8a304f5b98183b8c848c426d40c1ec4ebc3b809e2ff82dd1,68200006000000000,"[{""gasUsed"":512782,""txHash"":""0x9f1f8d3ced1f2c00f1243af4952f0940874d5a9aa63614fd521c9f4a14251843"",""value"":""0x0000000000000000000000000000000000000000000000000000000000000000""}]"
0x00a36c8afbb0dc04acfef43f2c1f0e962c5797f6c8d272628e590711b5c09650,65754957000000000,"[{""gasUsed"":592387,""txHash"":""0xc19f1b754e949cba5491094de900df51062bc7ff770fe92af64b5449d321a2e6"",""value"":""0x0000000000000000000000000000000000000000000000000000000000000000""}]"
0xd838efaaa17ff2049dcfd34599d7f4abcbba93c568ec149fb8ac5c21b78ce8d0,53628570000000000,"[{""gasUsed"":595873,""txHash"":""0x5ca04538ff6e2f74709505631b3da6200004f3816184d6d2071fc7cb9ebe3585"",""value"":""0x0000000000000000000000000000000000000000000000000000000000000000""}]"
0xe3577527cb588c4f82254d908ce6a013f3d87caa14cc8faa50bd7dc6f3da4d2c,160636298000000000,"[{""gasUsed"":497326,""txHash"":""0x3703ed14f480151a2680e100087ce83bb9f8779b7dcb7d5e524da7ee2964e0f6"",""value"":""0x0000000000000000000000000000000000000000000000000000000000000000""}]"
0xa9d9360b182b8d0bcb974c0a3c713781ec59402f5cb3c85f0bbd778bd792250d,74163845000000000,"[{""gasUsed"":644903,""txHash"":""0x98196125edbc171f0454337f6574c796961fa251098eb903d6c87b92fcf7ff70"",""value"":""0x0000000000000000000000000000000000000000000000000000000000000000""}]"
0x788fc461c1a6d742169284be91f2171182106bc4ae4ae7ea018da6d96a2cee93,75545685000000000,"[{""gasUsed"":656919,""txHash"":""0x5efc1d0dfc080b9e0d93fd03dc4157a794113df796fdb4f1978b02662917feef"",""value"":""0x0000000000000000000000000000000000000000000000000000000000000000""}]"
0xd8c6210172ae91be5a1ecade5fa4d8dd4f7656424b4a5b158490e26747eff017,65833144000000000,"[{""gasUsed"":633011,""txHash"":""0x5602e83dac71e71debc8c93edc7391d2a43e23a02ce2ab7db4c26864ef82ad05"",""value"":""0x0000000000000000000000000000000000000000000000000000000000000000""}]"
0x49ec43011a322ce6b3b8837c4714cefad4a30a37fba4c3906af181701dd7870c,392887540000000000,"[{""gasUsed"":497326,""txHash"":""0x8b90f3db4cff0d5eb2ffc61549e4cadf716a7760c3a9534e5e5e2f379b442dd3"",""value"":""0x0000000000000000000000000000000000000000000000000000000000000000""}]"
0xae4ebd4ef5fe7a59c7f0e9b6b92c1c9de65dc0290a73f8986b062ee7c72a2866,25634525000000000,"[{""error"":""execution reverted"",""gasUsed"":138565,""txHash"":""0x7750f3a02af1aa3610b9c329aaf9bc151d570c78ed1589b875d7a97cf5cbe6a7""}]"
0xdaf5e9685e7712a3e25348e7847c44667017c8cdbf6a8af7c6aea53db8003a68,51721904000000000,"[{""gasUsed"":497326,""txHash"":""0xb3617956c0918e9457d352884c42f1d518b081639be7db4511ed6181393a4cf8"",""value"":""0x0000000000000000000000000000000000000000000000000000000000000000""}]"
0x8a7dc3cfa4525ee56bde5a0e62ba64097e1a3e66cd776747cc2536c0763ef49a,30584169000000000,"[{""error"":""execution reverted"",""gasUsed"":161821,""txHash"":""0x0e1b490d5bd8dfcd3de9501231b23e406a64763a12ee58d6b95b61abc7356357""}]"
0x8defeff259ed5748b1289e6c9bbb5c2e6274cdb885ff08300c0c11a11a15897d,206603532000000000,"[{""gasUsed"":580347,""txHash"":""0x6396dda2219f62741daa5bdae7e5b697c01326fdb0d5745b203dbbd8863c2e3d"",""value"":""0x0000000000000000000000000000000000000000000000000000000000000000""}]"
0x4728732562e0065f9c8396589b0600bfc38a88337deb8c7640f168e92bb48f36,135507960000000000,"[{""gasUsed"":645276,""txHash"":""0x762577fe194e1ad2a6524c70317c74699a9d1104bc0e114582e51e578778daab"",""value"":""0x0000000000000000000000000000000000000000000000000000000000000000""}]"
12199608,"""forwarded bundle"""
12199610,
12199611,
12199612,
12199613,"""forwarded bundle"""
12199614,"""forwarded bundle"""
12199615,"""forwarded bundle"""
12199616,"""forwarded bundle"""
12199617,"""forwarded bundle"""
12199618,"""forwarded bundle"""
12199619,"""forwarded bundle"""
12199620,
12199622,
12199621,
12199623,
12199623,
12199624,
12199625,
12199626,
12199627,
12199628,
12199629,
12199630,
12199631,
12199632,
12199633,"""forwarded bundle"""
12199634,"""forwarded bundle"""
12199635,"""forwarded bundle"""
12199636,
12199637,"""forwarded bundle"""
12199638,"""forwarded bundle"""
12199639,
12199640,
12199641,
12199642,
12199643,"""forwarded bundle"""
12199644,"""forwarded bundle"""
12199645,
12199646,"""forwarded bundle"""
12199647,"""forwarded bundle"""
12199648,
12199649,
12199650,"""forwarded bundle"""
12199651,"""forwarded bundle"""
12199651,
12199652,
12199653,
12199654,"""forwarded bundle"""
12199655,"""forwarded bundle"""
12199731,"""forwarded bundle"""
12199878,
12200234,
12200235,"""forwarded bundle"""
12200310,"""forwarded bundle"""
12200604,"""forwarded bundle"""
12200777,"""forwarded bundle"""
12200795,"""forwarded bundle"""
12200830,"""forwarded bundle"""
12202483,
12202484,
12212106,
12212107,"""forwarded bundle"""
12212108,"""forwarded bundle"""
12212113,
12212114,"""forwarded bundle"""
12212116,"""forwarded bundle"""
12212117,"""forwarded bundle"""
12212119,"""forwarded bundle"""
12212123,
12212124,"""forwarded bundle"""
